0.47  0.96  0.96  0.88  0.88  0.80  0.80  0.73  0.73  0.66  0.66  0.59  0.59  0.53  0.53  0.48  0.47  0.43  0.42  0.38  0.38  0.34  0.34  0.30  0.30  0.27  0.27  0.25  0.24  0.22  0.21  0.20  0.19  0.18  0.17  0.17  0.16  0.15  0.14  0.14  0.13  0.13  0.12  0.13  0.11  0.12  0.11  0.12  0.10  0.12  0.10  
0.49  0.96  0.96  0.88  0.88  0.81  0.80  0.73  0.73  0.66  0.66  0.60  0.59  0.53  0.53  0.48  0.48  0.43  0.43  0.38  0.38  0.34  0.34  0.31  0.30  0.27  0.27  0.25  0.24  0.22  0.21  0.20  0.19  0.18  0.17  0.17  0.16  0.15  0.14  0.14  0.13  0.13  0.12  0.13  0.11  0.12  0.11  0.12  0.10  0.12  0.10  
0.51  0.96  0.96  0.88  0.88  0.81  0.80  0.73  0.73  0.66  0.66  0.60  0.59  0.53  0.53  0.48  0.48  0.43  0.43  0.38  0.38  0.34  0.34  0.31  0.30  0.27  0.27  0.25  0.24  0.22  0.21  0.20  0.19  0.18  0.17  0.17  0.16  0.15  0.14  0.14  0.13  0.13  0.12  0.13  0.11  0.12  0.11  0.12  0.10  0.12  0.10  
0.53  0.96  0.96  0.88  0.88  0.80  0.80  0.73  0.73  0.66  0.66  0.59  0.59  0.53  0.53  0.48  0.47  0.43  0.42  0.38  0.38  0.34  0.34  0.30  0.30  0.27  0.27  0.25  0.24  0.22  0.21  0.20  0.19  0.18  0.17  0.17  0.16  0.15  0.14  0.14  0.13  0.13  0.12  0.13  0.11  0.12  0.11  0.12  0.10  0.12  0.10  
0.55  0.96  0.96  0.88  0.88  0.80  0.80  0.73  0.73  0.66  0.66  0.59  0.59  0.53  0.53  0.48  0.47  0.43  0.42  0.38  0.38  0.34  0.34  0.30  0.30  0.27  0.27  0.24  0.24  0.22  0.21  0.20  0.19  0.18  0.17  0.16  0.15  0.15  0.14  0.14  0.13  0.13  0.12  0.13  0.11  0.12  0.10  0.12  0.10  0.12  0.10  
0.57  0.96  0.96  0.88  0.88  0.80  0.80  0.72  0.72  0.65  0.65  0.59  0.58  0.53  0.52  0.47  0.47  0.42  0.42  0.37  0.37  0.33  0.33  0.30  0.29  0.27  0.26  0.24  0.23  0.22  0.21  0.20  0.19  0.18  0.17  0.16  0.15  0.15  0.14  0.14  0.13  0.13  0.12  0.13  0.11  0.12  0.11  0.12  0.10  0.12  0.10  
0.59  0.96  0.96  0.88  0.88  0.80  0.80  0.72  0.72  0.65  0.65  0.59  0.58  0.52  0.52  0.47  0.47  0.42  0.41  0.37  0.37  0.33  0.33  0.30  0.29  0.27  0.26  0.24  0.23  0.21  0.21  0.19  0.18  0.17  0.17  0.16  0.15  0.15  0.14  0.14  0.12  0.13  0.11  0.12  0.11  0.12  0.10  0.11  0.10  0.11  0.09  
0.61  0.96  0.96  0.87  0.87  0.79  0.79  0.71  0.71  0.64  0.64  0.57  0.57  0.51  0.51  0.46  0.45  0.41  0.40  0.36  0.36  0.32  0.32  0.29  0.28  0.26  0.25  0.23  0.23  0.21  0.20  0.19  0.18  0.17  0.16  0.16  0.15  0.15  0.14  0.14  0.13  0.13  0.12  0.12  0.11  0.12  0.10  0.12  0.10  0.12  0.10  
0.63  0.96  0.96  0.87  0.87  0.79  0.79  0.71  0.71  0.64  0.64  0.57  0.57  0.51  0.51  0.46  0.45  0.41  0.40  0.36  0.36  0.32  0.32  0.29  0.28  0.26  0.25  0.23  0.22  0.20  0.20  0.18  0.18  0.17  0.16  0.15  0.14  0.14  0.13  0.13  0.12  0.12  0.11  0.11  0.10  0.11  0.09  0.11  0.09  0.11  0.09  
0.65  0.96  0.95  0.87  0.86  0.78  0.78  0.70  0.70  0.62  0.62  0.55  0.55  0.49  0.49  0.44  0.44  0.39  0.39  0.35  0.34  0.31  0.30  0.27  0.27  0.25  0.24  0.22  0.22  0.20  0.19  0.18  0.17  0.16  0.16  0.15  0.14  0.14  0.13  0.13  0.12  0.12  0.11  0.12  0.10  0.11  0.10  0.11  0.10  0.11  0.09  
0.67  0.96  0.95  0.87  0.86  0.78  0.78  0.70  0.70  0.62  0.62  0.55  0.55  0.49  0.49  0.44  0.43  0.39  0.38  0.34  0.34  0.30  0.30  0.27  0.27  0.24  0.24  0.22  0.21  0.19  0.19  0.17  0.17  0.16  0.15  0.14  0.13  0.13  0.12  0.12  0.11  0.11  0.10  0.11  0.09  0.10  0.09  0.10  0.08  0.10  0.08  
0.69  0.95  0.95  0.85  0.85  0.76  0.76  0.68  0.67  0.60  0.60  0.53  0.53  0.47  0.47  0.41  0.41  0.37  0.36  0.32  0.32  0.29  0.28  0.26  0.25  0.23  0.22  0.21  0.20  0.18  0.18  0.17  0.16  0.15  0.15  0.14  0.13  0.13  0.12  0.12  0.11  0.12  0.10  0.11  0.10  0.11  0.09  0.11  0.09  0.11  0.09  
0.71  0.95  0.95  0.85  0.85  0.76  0.76  0.68  0.67  0.60  0.60  0.53  0.53  0.47  0.46  0.41  0.41  0.36  0.36  0.32  0.32  0.28  0.28  0.25  0.25  0.22  0.22  0.20  0.19  0.18  0.17  0.16  0.15  0.14  0.14  0.13  0.12  0.12  0.11  0.11  0.10  0.10  0.09  0.10  0.08  0.09  0.08  0.09  0.07  0.09  0.07  
0.73  0.95  0.94  0.84  0.84  0.74  0.74  0.65  0.65  0.57  0.57  0.50  0.49  0.44  0.43  0.38  0.38  0.34  0.33  0.30  0.29  0.26  0.26  0.23  0.23  0.21  0.20  0.19  0.18  0.17  0.16  0.15  0.15  0.14  0.13  0.13  0.12  0.12  0.11  0.11  0.10  0.11  0.10  0.10  0.09  0.10  0.09  0.10  0.08  0.10  0.08  
0.75  0.95  0.94  0.84  0.84  0.74  0.74  0.65  0.64  0.57  0.56  0.49  0.49  0.43  0.43  0.38  0.38  0.33  0.33  0.29  0.29  0.26  0.25  0.23  0.22  0.20  0.20  0.18  0.17  0.16  0.15  0.14  0.14  0.13  0.12  0.12  0.11  0.11  0.10  0.10  0.09  0.09  0.08  0.09  0.07  0.08  0.07  0.08  0.06  0.08  0.06  
0.77  0.94  0.94  0.82  0.81  0.70  0.70  0.61  0.61  0.52  0.52  0.45  0.45  0.39  0.39  0.34  0.34  0.30  0.30  0.26  0.26  0.23  0.23  0.21  0.20  0.18  0.18  0.17  0.16  0.15  0.14  0.14  0.13  0.12  0.12  0.11  0.11  0.11  0.10  0.10  0.09  0.10  0.09  0.09  0.08  0.09  0.08  0.09  0.07  0.09  0.07  
0.79  0.94  0.94  0.82  0.81  0.70  0.70  0.61  0.60  0.52  0.52  0.45  0.45  0.39  0.39  0.34  0.34  0.30  0.29  0.26  0.26  0.23  0.22  0.20  0.20  0.18  0.17  0.16  0.15  0.14  0.13  0.12  0.12  0.11  0.10  0.10  0.09  0.09  0.08  0.08  0.07  0.08  0.07  0.07  0.06  0.07  0.05  0.07  0.05  0.07  0.05  
0.81  0.93  0.92  0.78  0.78  0.66  0.66  0.55  0.55  0.47  0.47  0.40  0.40  0.34  0.34  0.30  0.30  0.26  0.26  0.23  0.22  0.20  0.20  0.18  0.17  0.16  0.15  0.14  0.14  0.13  0.12  0.12  0.11  0.11  0.10  0.10  0.09  0.09  0.09  0.09  0.08  0.08  0.08  0.08  0.07  0.08  0.07  0.08  0.07  0.08  0.06  
0.83  0.93  0.92  0.78  0.78  0.66  0.66  0.55  0.55  0.47  0.47  0.40  0.40  0.34  0.34  0.29  0.29  0.25  0.25  0.22  0.22  0.19  0.19  0.17  0.17  0.15  0.15  0.13  0.13  0.12  0.11  0.10  0.10  0.09  0.09  0.08  0.08  0.07  0.07  0.07  0.06  0.06  0.05  0.06  0.04  0.05  0.04  0.05  0.04  0.05  0.03  
0.85  0.90  0.90  0.73  0.73  0.59  0.59  0.48  0.48  0.40  0.40  0.33  0.33  0.28  0.28  0.24  0.24  0.21  0.21  0.18  0.18  0.16  0.16  0.14  0.14  0.13  0.12  0.11  0.11  0.10  0.10  0.09  0.09  0.09  0.08  0.08  0.08  0.08  0.07  0.07  0.07  0.07  0.06  0.07  0.06  0.07  0.06  0.07  0.06  0.07  0.06  
0.87  0.90  0.90  0.73  0.73  0.59  0.59  0.48  0.48  0.40  0.39  0.33  0.33  0.28  0.28  0.24  0.24  0.21  0.20  0.18  0.18  0.15  0.15  0.13  0.13  0.12  0.12  0.10  0.10  0.09  0.09  0.08  0.08  0.07  0.07  0.06  0.06  0.06  0.05  0.05  0.04  0.05  0.04  0.04  0.03  0.04  0.02  0.04  0.02  0.04  0.02  
0.89  0.86  0.86  0.65  0.65  0.49  0.49  0.38  0.38  0.31  0.31  0.25  0.25  0.21  0.21  0.18  0.18  0.16  0.16  0.14  0.13  0.12  0.12  0.11  0.10  0.09  0.09  0.08  0.08  0.08  0.08  0.07  0.07  0.07  0.06  0.06  0.06  0.06  0.06  0.06  0.05  0.06  0.05  0.06  0.05  0.06  0.05  0.06  0.05  0.06  0.05  
0.91  0.86  0.86  0.65  0.64  0.49  0.49  0.38  0.38  0.31  0.31  0.25  0.25  0.21  0.21  0.18  0.18  0.15  0.15  0.13  0.13  0.11  0.11  0.10  0.10  0.08  0.08  0.07  0.07  0.06  0.06  0.06  0.05  0.05  0.05  0.04  0.04  0.04  0.03  0.03  0.03  0.03  0.02  0.03  0.01  0.02  0.01  0.02  0.00  0.02  -0.00  
0.93  0.77  0.77  0.50  0.50  0.34  0.34  0.25  0.25  0.20  0.20  0.16  0.16  0.13  0.13  0.11  0.11  0.10  0.10  0.08  0.08  0.07  0.07  0.07  0.07  0.06  0.06  0.05  0.05  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.04  0.05  0.04  
0.95  0.77  0.77  0.50  0.50  0.34  0.34  0.25  0.25  0.20  0.20  0.16  0.16  0.13  0.13  0.11  0.11  0.09  0.09  0.08  0.08  0.07  0.07  0.06  0.06  0.05  0.05  0.04  0.04  0.04  0.03  0.03  0.03  0.03  0.02  0.02  0.02  0.02  0.01  0.01  0.01  0.01  0.00  0.01  -0.00  0.00  -0.01  0.00  -0.01  -0.00  -0.02  
0.97  0.50  0.50  0.23  0.23  0.13  0.13  0.09  0.09  0.07  0.07  0.06  0.06  0.05  0.05  0.04  0.04  0.03  0.03  0.03  0.03  0.03  0.03  0.02  0.03  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.04  
0.99  0.50  0.50  0.23  0.22  0.13  0.13  0.09  0.09  0.07  0.07  0.05  0.05  0.04  0.04  0.04  0.03  0.03  0.03  0.02  0.02  0.02  0.02  0.02  0.02  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00  0.00  0.00  -0.00  -0.00  -0.00  -0.00  -0.01  -0.01  -0.01  -0.01  -0.01  -0.01  -0.02  -0.02  -0.03  -0.02  -0.05  
